Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D65","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",65.5000,-31.2058,300.0000,top
"D66","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",62.2058,-34.5000,330.0000,top
"D67","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",61.0000,-39.0000,0.0000,top
"D68","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",62.2058,-43.5000,30.0000,top
"D69","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",65.5000,-46.7942,60.0000,top
"D70","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",70.0000,-48.0000,90.0000,top
"D71","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",74.5000,-46.7942,120.0000,top
"D72","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",77.7942,-43.5000,150.0000,top
"D73","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",41.0000,-72.0000,180.0000,top
"D74","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",39.7942,-67.5000,210.0000,top
"D75","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",36.5000,-64.2058,240.0000,top
"D76","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",32.0000,-63.0000,270.0000,top
"D77","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",27.5000,-64.2058,300.0000,top
"D78","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",24.2058,-67.5000,330.0000,top
"D79","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",23.0000,-72.0000,0.0000,top
"D80","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",24.2058,-76.5000,30.0000,top
"D81","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",27.5000,-79.7942,60.0000,top
"D82","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",32.0000,-81.0000,90.0000,top
"D83","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",36.5000,-79.7942,120.0000,top
"D84","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",39.7942,-76.5000,150.0000,top
"D85","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",41.0000,-124.0000,180.0000,top
"D86","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",39.7942,-119.5000,210.0000,top
"D87","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",36.5000,-116.2058,240.0000,top
"D88","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",32.0000,-115.0000,270.0000,top
"D89","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",27.5000,-116.2058,300.0000,top
"D90","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",24.2058,-119.5000,330.0000,top
"D91","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",23.0000,-124.0000,0.0000,top
"D92","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",24.2058,-128.5000,30.0000,top
"D93","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",27.5000,-131.7942,60.0000,top
"D94","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",32.0000,-133.0000,90.0000,top
"D95","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",36.5000,-131.7942,120.0000,top
"D96","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",39.7942,-128.5000,150.0000,top
"D97","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",94.5000,-53.0000,0.0000,top
"D98","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",119.5000,-53.0000,0.0000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",22.0000,-33.0000,0.0000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",192.2000,-33.0000,0.0000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",25.5000,-134.5000,0.0000,top
"FID4","Fiducial","Fiducial_1mm_Mask2mm",188.5000,-134.5000,0.0000,top
"J1","JST PH 3","JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical",107.0000,-57.2500,180.0000,bottom
"J3","JST PH 4","JST_PH_B4B-PH-SM4-TB_1x04-1MP_P2.00mm_Vertical",144.0000,-68.0000,180.0000,bottom
"R1","330","R_0402_1005Metric",155.4700,-38.9800,270.0000,top
